Cement,Water,Coarse aggregate,Fine aggregate,FA,SF,GGBFS,SP,Cylinder compressive strength
394.34119,221.566999,1163.51783,1102.688378,24.372263,0.496586,21.963528,1.738157,45.977475
433.72311,193.318874,1759.141989,1128.6863,6.415744,40.469246,91.517787,3.627369,78.48078
290.327362,197.665701,1156.69007,878.74264,50.990968,22.28424,45.813135,4.299754,57.072072
256.858093,273.690611,877.307252,451.215128,95.988766,62.604263,99.427441,9.503739,48.600625
349.077248,139.948754,901.844681,583.533487,49.859472,0.336465,8.596506,7.301251,60.344612
349.655037,153.894552,1238.818009,660.763013,8.927419,15.126921,19.525476,5.658593,57.514251
275.952111,142.427826,1106.142878,794.418045,28.060192,1.680849,210.542297,1.249829,84.309776
160.547776,174.00328,873.381312,828.752339,70.926924,53.733366,98.601688,4.397792,61.388627
193.948578,202.29044,1332.999659,867.328774,65.829278,26.723206,171.569828,9.019593,51.482905
244.788814,244.532121,1185.74858,933.369176,130.024404,17.96846,89.62629,3.217347,46.833861
134.250691,169.649646,814.85929,410.65911,156.521376,25.421103,56.700612,0.990869,43.617371
336.637944,299.645145,1509.107181,858.15395,40.216072,16.122921,131.770448,4.329033,40.122042
230.903006,267.220498,1603.025113,830.680044,23.598545,66.300536,152.773171,4.931822,41.920129
348.542506,149.164377,1185.972957,640.010358,87.635528,18.093137,39.749741,9.983349,80.493416
315.823163,200.441978,931.349941,496.491411,41.484194,47.894086,18.998966,8.800495,56.703873
176.986677,221.59234,1072.636609,808.212369,70.704772,56.90821,133.054454,1.567251,55.002589
319.734186,195.674625,877.121804,581.635216,28.339139,30.096829,80.382156,6.359427,67.009115
227.897034,162.170575,903.451769,649.585531,95.454939,8.281562,119.95832,4.326699,70.360692
334.437007,159.956391,1039.520011,765.338529,104.200885,1.21211,69.328981,7.817085,77.058139
429.379185,255.637378,1454.240076,879.900866,25.529604,3.632225,23.068687,9.196292,57.575054
385.306573,116.138087,1071.440726,930.837322,30.906807,5.827218,14.515183,7.124418,80.722887
207.951507,144.013685,928.910498,641.344634,97.946642,5.384506,9.222004,3.405793,30.074828
286.521189,335.040123,723.168641,637.856861,45.94575,35.719641,174.142116,1.469015,49.286778
236.011174,241.726875,763.837614,636.502522,87.731124,7.401447,134.283838,9.113756,55.441854
310.724023,131.60659,1166.386204,914.22,37.089682,27.858145,35.760655,8.130184,72.426608
439.00347,260.126895,1140.247333,779.640927,6.47092,3.332966,11.18005,6.529527,42.031641
219.694422,171.844882,959.788993,823.010883,61.852413,18.132591,46.485435,6.517499,38.086718
484.088431,310.470778,1159.811299,896.945793,71.373996,6.953577,10.901137,4.742818,52.232977
456.638364,212.740358,1013.39893,818.712047,65.55629,20.046559,54.884914,5.155749,80.288076
206.734551,201.632555,969.426574,478.701943,89.636174,11.676927,28.398208,6.850095,35.703826
303.032105,211.929403,792.557285,501.581274,71.445188,3.716183,42.111265,3.524291,38.64169
356.609016,180.69515,980.13812,744.414682,36.732752,54.131271,76.945043,5.574103,79.575219
379.109397,156.901989,994.996931,494.652416,12.932448,7.611425,8.333407,3.336704,70.52569
406.172939,155.007334,1312.369796,897.531035,41.703503,10.21954,20.67795,2.92205,76.577736
194.935116,115.053664,1032.344001,722.697966,113.465103,40.294234,87.945417,4.498002,92.972349
347.700109,153.88846,1394.059987,798.430795,16.819855,0.263789,171.995651,8.753039,80.575508
247.161424,185.306756,1432.63008,840.185106,156.554696,21.39358,163.260333,9.430617,73.805889
248.570448,326.170611,1631.974587,1302.458866,154.096061,2.087868,163.996342,1.647198,48.784931
415.913882,236.719483,1741.028776,872.363251,52.559872,7.809779,17.578398,4.059834,59.847177
261.341528,153.245567,965.764792,458.182574,13.673953,5.082822,84.778505,6.325913,53.790656
374.08941,261.603202,1224.072368,1122.447137,147.158121,0.449587,63.480265,10.414984,62.197921
294.123828,195.747504,460.285648,363.149493,24.018278,7.884137,0.590838,2.681099,34.688367
366.222523,161.726147,1094.832205,775.472772,7.299018,18.938775,10.898332,6.939007,63.528031
178.164377,161.330804,976.177307,802.863431,145.678402,47.634975,27.374024,6.264317,64.27502
231.548692,164.404982,875.548905,503.993556,155.830468,9.965557,110.766557,4.389068,85.380343
331.479484,142.987042,736.974226,570.557093,12.531297,4.422692,108.028185,5.532605,73.545838
183.032889,92.846401,532.551213,387.781373,77.995237,10.676209,74.304459,1.826343,71.424957
208.41821,148.667662,754.045198,444.54568,79.142508,0.10851,35.930981,0.828723,39.19891
246.527455,227.423551,1261.420351,739.19122,68.005608,68.489177,106.186169,3.04043,66.167895
351.328263,205.831555,744.028261,501.31161,25.494967,24.374646,56.417457,5.915038,54.395226
327.628508,256.866061,1676.149034,844.093033,72.35012,34.692772,53.715594,8.195645,48.856735
198.481344,149.710421,706.414838,559.255895,155.592967,36.475099,87.377271,9.248905,76.403592
262.94275,266.388468,876.768714,794.827576,284.200535,17.877003,4.308262,10.774938,61.166134
444.938559,346.338979,1429.243049,1288.511265,52.121678,17.854323,62.236561,1.665256,45.174462
157.329058,178.246285,936.153735,678.294911,154.176221,43.791589,17.415138,6.834656,44.294047
418.452597,315.169416,1833.81675,1013.963305,79.941322,29.084695,56.31523,2.325616,48.617847
293.930424,239.219186,1848.958274,875.916764,98.176769,0.328911,148.127351,1.934029,65.073143
262.425091,149.405585,1539.953999,1081.176694,122.418742,0.869412,113.214106,3.955973,70.610003
360.839329,310.190698,1353.040245,768.057752,76.091778,54.577787,13.181141,3.80542,42.36796
215.391648,182.271442,1225.744147,717.155298,91.912869,8.863284,156.729063,8.536676,70.944553
390.017731,186.039757,831.253546,634.981092,94.970796,39.385631,52.459566,5.351307,86.577193
144.099575,179.54749,971.717778,502.580035,164.375049,5.322365,71.516709,2.907045,53.269718
189.569033,147.938435,926.4661,677.283389,114.922985,53.936766,129.379695,5.967967,71.87289
225.13437,215.905784,810.261599,654.613714,139.210878,76.718328,106.924481,10.916,65.757604
145.205479,163.394436,1021.698063,493.84895,112.978461,5.183456,94.365811,2.630496,51.369604
428.48631,129.376111,756.193795,537.09761,9.124753,40.821258,13.909996,8.723838,88.103099
244.31887,250.712082,1028.51072,816.921914,104.819962,40.782173,42.872369,6.856206,42.39012
271.47832,185.439586,1684.193035,1093.347054,78.722966,2.996817,181.292073,5.83289,78.530883
216.072407,158.110235,781.534718,461.465926,68.347738,39.254359,15.285517,5.475365,58.695015
312.157244,246.123084,1387.862344,736.212793,10.756153,2.486768,164.507861,5.607404,55.904828
468.776161,227.598419,732.193251,682.447141,53.503812,0.083493,37.618567,8.586297,68.783312
427.45848,291.206841,1058.900872,674.833695,22.854151,14.938366,30.686405,4.318012,50.541807
197.725832,221.588769,744.887028,406.764227,85.837669,7.10537,119.305684,4.520695,49.212775
437.517656,251.060487,1085.710304,531.461054,18.389319,17.691325,30.024596,3.022183,50.884821
213.893323,195.718899,682.074799,383.454061,107.529691,4.781762,88.47802,3.313565,44.548525
463.073087,277.735322,1060.192735,906.155772,27.306374,9.99887,6.827649,10.582862,40.12292
252.190292,104.327785,1079.451691,585.059999,37.447628,17.82412,48.474392,4.749633,70.972157
376.626485,229.691267,1025.656234,786.536291,5.814114,8.61255,7.344539,5.542975,36.702902
183.399595,124.209642,906.714257,823.068958,95.393343,0.866204,49.502004,2.697917,49.362573
268.379675,95.436038,1060.748157,665.112641,59.247107,5.354722,10.513124,4.695096,59.682706
320.710259,186.129356,1255.941498,873.238662,83.797679,19.538064,51.289491,3.273569,64.115168
302.229754,146.849697,1164.33771,617.111059,51.309935,10.839933,20.49588,3.507237,52.398504
299.77991,287.984651,1230.554794,688.555059,67.733273,19.851705,77.138237,9.569412,32.755924
282.032792,183.585149,790.432919,496.338263,157.509308,63.759751,1.377619,8.349395,67.682427
486.359795,217.518233,1483.635665,1147.317838,58.556635,1.874741,19.940959,5.784414,71.324807
203.836744,234.816906,1057.439681,712.324182,124.708667,11.627739,79.243934,5.298218,40.728357
197.521308,225.819639,1120.707261,971.748622,43.116747,13.442894,155.149162,3.230017,46.711818
157.127044,173.735247,681.36067,551.024873,184.947367,16.042367,49.70991,6.266865,52.477328
256.903366,202.624174,1052.31722,751.265571,39.880622,15.886325,40.327588,2.664291,33.271516
216.127387,134.20197,906.027501,588.469398,139.016987,47.10069,103.446277,9.103635,81.051925
496.120055,286.196402,861.476474,611.220828,27.151514,1.127802,25.103912,10.979581,49.787506
160.036269,130.599095,1171.609802,761.187685,137.968206,9.079388,145.357498,6.66054,75.141512
395.611932,153.194211,974.771923,648.381816,24.977744,29.949994,25.783601,2.773233,82.179158
430.661855,356.618652,1475.33607,873.116292,56.83611,64.266026,36.610441,6.068778,52.465341
465.654576,317.380021,1193.763848,640.205534,6.109626,36.413467,7.518579,3.863505,47.484714
238.17229,258.487276,819.883844,768.800804,74.064549,74.005368,142.367562,4.751373,63.532415
377.617032,239.785222,1873.44882,914.589348,97.615809,60.230256,33.596442,2.891346,67.038613
141.872486,218.42499,1212.393245,593.428499,192.991336,10.675742,34.881797,5.131187,30.823282
437.676314,205.413259,1096.352416,561.239141,25.064484,12.719706,26.585993,4.09922,60.409073
216.676239,238.691106,1095.146446,694.139747,132.309122,2.828335,169.056766,2.68716,53.504086
411.685846,166.503731,1531.64035,1049.611158,118.904507,4.405279,20.828188,11.029216,71.612404
339.610962,185.777854,987.332012,584.6559,32.579834,2.757805,41.311352,1.064017,61.107639
286.769577,158.170873,1266.542543,1021.410396,45.322623,28.813461,151.956856,10.756067,76.774388
460.653689,183.530869,1534.235326,945.242379,1.956895,9.403695,17.217891,1.944987,69.887375
277.924309,151.593594,1387.482975,717.57294,44.862392,46.155454,65.678934,4.533823,64.016549
233.859858,182.458532,883.00472,571.273257,28.919106,30.398076,55.294972,3.912922,45.140774
389.706325,206.877095,1191.531891,779.747291,12.569747,1.955541,14.621949,6.736977,44.367865
409.981913,330.906241,1056.764416,723.913097,73.031419,30.196229,76.566169,11.427016,56.065412
294.604706,220.863638,1164.325396,685.667333,46.797365,16.632421,22.592088,3.549603,46.24895
284.383659,105.421385,686.013791,438.706392,50.139064,0.797348,16.498566,5.421772,62.277562
166.016772,260.689449,967.502301,590.779906,52.154412,9.157255,195.6218,1.045116,40.983582
207.236956,197.305123,950.723223,513.745403,114.304561,4.052214,22.68089,0.857855,29.762207
341.896153,152.722978,833.49067,512.333756,33.831213,6.117869,12.970465,3.309079,65.431815
286.958001,268.163535,1582.200793,1191.517329,124.213436,80.64668,84.229598,5.371036,70.77992
300.627046,117.226019,876.111861,828.11523,20.055917,0.59189,87.98413,3.816212,73.640572
287.864508,162.785457,1489.017392,1008.287874,150.213282,2.574077,43.397197,4.828757,70.32806
281.71846,144.635768,758.007849,511.281686,16.378512,51.528328,37.223239,5.33774,67.51543
289.256537,224.926438,1430.989094,830.953052,30.743542,23.913928,163.120372,3.10645,60.429693
193.531169,103.965031,638.092336,404.714385,38.820105,17.50196,105.890554,3.280297,72.152538
425.906259,333.520221,850.673946,762.129463,67.472766,0.224348,47.543255,4.491908,47.647771
198.630507,256.761824,1117.188416,611.842883,161.341804,13.9502,64.502382,9.145306,39.24216
216.518526,148.536673,1120.903635,744.582055,85.214833,39.388297,30.303252,1.934965,56.602578
314.481308,296.036943,1056.925298,977.812697,108.218261,34.106296,75.504014,1.593676,48.480308
392.99745,209.918983,1081.487121,848.880607,45.712771,14.857898,21.630992,2.642766,56.888575
356.39456,153.781346,1316.953402,968.244039,71.680908,6.795737,7.809398,6.979326,67.530831
278.453106,177.071616,698.405262,490.855387,62.093617,16.287065,30.541504,2.016934,64.095184
506.098643,166.256996,1771.995936,844.226856,21.937441,0.562518,10.183848,7.1152,75.758282
391.29039,206.414202,1146.598364,813.088487,26.191855,1.006207,3.791364,6.286617,44.318864
184.549971,186.967317,899.426882,550.55893,42.7144,46.489155,58.311867,2.410051,43.347572
452.732055,162.515209,1376.291549,726.597606,64.999648,30.133261,42.438432,10.430132,89.150493
171.049506,95.345383,988.397876,629.590957,47.864347,45.99422,63.622072,6.581917,77.430537
323.436329,124.607967,1102.06532,742.754496,12.253423,1.375055,16.666535,2.427245,54.86605
229.051369,143.488231,899.33775,712.728611,117.002985,63.059851,41.313304,3.838428,75.926708
313.660004,110.874391,801.517249,585.632766,39.77456,4.757371,20.007449,4.682941,67.576974
177.773778,219.897581,1205.186425,682.345505,103.938441,36.743266,95.382326,3.454742,52.59564
194.927078,166.199968,1098.462973,802.162962,226.181166,18.325998,39.484026,8.914391,69.13692
317.342712,311.725377,1080.400144,730.384726,25.480464,64.138705,181.233865,12.228965,60.131014
418.860804,212.396413,1772.704494,1133.518205,35.039167,13.357807,114.909644,6.395959,67.50627
321.733056,143.107514,860.363514,635.878011,7.937559,7.151347,3.868911,5.140804,65.392694
277.07224,293.755757,1260.442253,827.13345,132.732957,17.812524,131.310103,1.699575,52.912774
226.316248,215.971361,761.652179,579.213503,100.288255,19.149821,21.236299,5.528012,39.203869
497.844935,232.803484,1219.521941,1114.432912,19.66736,1.866325,27.822584,3.001718,55.979121
246.56174,155.22831,794.398264,561.783715,57.936639,0.730644,97.748198,3.964222,63.672779
498.197566,259.036547,1261.309899,944.600603,8.034164,1.054592,13.707298,10.928306,60.131916
356.887448,181.979158,932.039501,541.649833,84.800552,1.098351,78.475746,2.979487,61.188415
327.030128,192.587529,1251.15997,755.938597,76.514863,78.141609,76.467753,9.758011,80.860517
279.543547,186.261801,1865.615503,964.206017,208.861953,10.494164,95.395574,1.9357,81.990749
310.849353,143.927026,660.760228,486.475231,21.884696,12.694684,51.705905,7.135135,59.408837
405.892045,228.946117,1392.75933,819.896544,53.225515,7.368015,29.440794,1.855962,56.626734
399.478025,257.129217,1522.136997,848.880546,81.680278,16.458342,29.376378,1.15799,53.490557
316.244483,203.915244,812.120987,753.943142,10.263564,1.464066,14.324102,1.29448,30.766785
198.098091,183.862916,813.433266,496.62927,107.43627,70.788084,129.30673,7.919311,70.998731
173.363459,217.066612,1256.446465,717.405135,147.81052,9.425661,79.424704,3.578256,35.87979
216.459638,177.774834,746.000168,432.903128,76.980248,4.167624,67.603823,1.808295,43.663756
433.338479,284.855399,808.152347,606.716718,27.987432,0.929556,11.596569,7.696085,40.403374
408.432831,272.849836,743.393573,510.615531,17.431718,10.645384,12.817474,6.522358,40.137738
188.505651,206.820484,1171.068423,837.550761,193.794718,28.601231,70.680753,1.799781,51.29763
441.642642,202.841762,1410.403813,843.31367,19.660406,17.663955,20.769922,6.487609,62.525448
400.40066,258.225219,1021.162072,948.653439,20.852772,5.64349,32.73036,5.021691,45.794125
275.747237,153.661475,1822.209356,1093.786407,127.194778,77.685421,92.814762,10.754912,91.008077
287.001547,194.225284,883.46703,440.995159,42.114048,6.186823,34.513557,6.868424,50.47603
284.191656,225.569551,646.540575,471.854611,60.066136,7.489967,49.113903,4.050073,41.050622
297.968889,243.589044,729.054891,663.094091,4.875954,58.763888,58.133328,5.259755,46.786175
286.107142,143.445873,1062.100223,576.878209,147.859729,63.830661,39.029435,5.153854,76.706606
337.677125,241.444952,1484.430618,786.5258,48.543735,10.984508,105.382105,3.032162,57.324495
175.50809,153.355522,1193.454701,569.404804,153.246897,6.431959,42.611405,5.884989,42.59149
347.439662,150.536289,1073.055926,958.57496,149.955222,6.226357,24.822488,7.874443,75.416039
419.615099,293.004776,1021.784082,712.389926,27.517505,9.413125,79.484642,1.981213,45.460104
450.661499,218.503544,1115.48328,907.600626,27.644653,7.327471,50.033987,9.355005,63.99961
170.781373,159.715969,764.689017,730.890456,103.427806,47.872218,19.863016,6.619517,49.893661
313.42153,148.501089,616.284926,512.785212,48.19831,2.935859,14.843263,3.722344,60.685148
335.899346,209.824797,1294.684154,969.046189,129.433677,49.085096,56.289689,4.584358,80.000985
335.862127,311.049472,1131.110648,660.09073,91.969548,28.812318,109.596984,3.43026,53.822745
140.610635,210.567894,1168.677763,585.433705,49.514402,36.671236,150.764072,6.408924,41.510214
429.475781,148.476797,1180.643275,703.674418,24.773844,6.739688,13.395871,2.716678,78.515016
327.9906,174.183936,1024.537919,495.397466,51.440399,7.355551,6.764763,7.173616,45.948117
242.924815,135.645028,922.523321,798.897805,96.543101,61.118363,35.973456,3.66778,83.657501
247.054642,98.611406,622.814046,505.650549,40.784505,20.323834,17.701576,1.885098,58.496494
351.64977,121.812556,1103.013968,848.45095,42.193823,0.098175,4.951099,8.350799,71.590821
163.788127,215.223359,591.214565,422.785119,97.186619,44.573705,90.242202,7.239756,47.837252
296.645442,313.217082,1077.185921,798.914122,163.111016,66.273621,51.326458,5.01369,49.898267
399.454345,203.905503,977.799046,658.287982,45.592753,14.829689,24.754875,3.07233,60.771124
333.444623,120.004726,743.382418,369.081556,7.828358,6.703356,21.728281,5.526332,61.895129
196.170766,118.301902,996.392156,948.710629,104.80218,0.52627,138.218856,5.95534,77.198863
280.457578,131.918508,763.238815,414.837845,30.014057,0.170684,147.379807,8.135484,82.014598
195.873693,294.07133,1411.066342,687.15259,121.469549,13.107375,168.010216,6.79119,40.677421
302.334575,177.190387,1271.385838,874.835121,98.858641,15.164632,52.72755,4.569196,66.635544
358.693947,132.658488,945.59538,487.481396,45.216242,24.095358,9.872412,4.4088,78.363498
357.579902,241.690809,819.319047,511.323366,13.699843,6.640546,29.101753,3.180084,35.471898
339.140074,285.24934,978.518492,838.058601,58.606784,0.019465,83.233539,2.973645,46.411409
321.976795,246.918158,1245.382596,800.211927,185.9528,1.12381,84.17956,5.108646,67.46118
454.597345,180.070151,985.554331,560.016849,13.180252,1.260179,5.798574,7.156113,67.73877
408.559732,194.947078,1448.244052,1002.13474,90.85896,16.423642,52.521067,11.895879,79.178941
231.424518,151.987225,687.369616,372.374286,34.721231,11.521273,46.60926,6.041294,51.307951
207.534438,129.667695,1040.831943,634.576412,49.966489,41.869704,77.496641,2.229748,65.311008
472.796726,195.525694,1026.606237,958.007145,35.983864,12.825246,40.529198,9.53474,72.92944
204.053228,285.006529,1495.205814,834.777938,198.897451,9.072371,67.429361,2.127335,35.676323
347.726723,128.532463,1274.639089,1077.671203,48.412729,23.903084,36.473727,8.570855,81.019494
192.859575,138.844077,1011.613716,921.419833,157.603174,34.291845,38.510607,3.005914,67.421852
183.277333,116.046764,716.451429,685.780875,28.505556,56.374416,134.517095,4.512903,79.104421
214.344202,139.425367,1451.732886,683.486425,24.885479,71.410128,199.432534,2.459512,89.560041
338.817729,124.863715,1342.477244,633.454785,36.872281,10.936914,35.778892,4.872663,67.312998
197.815274,261.269464,1019.618224,532.647673,72.311989,61.861201,109.877255,8.933873,49.951374
